,#id,lon,lat,name,elevation,usaf-id,wban-id
86,468,21.733,48.667,MILHOSTOV,106.0,119780,99999
87,469,130.917,45.3,JIXI,273.5,509780,99999
88,470,-140.15,69.15,IVVAVIK NAT. PARK  YT,244.0,719780,99999
89,473,-123.43700000000001,63.208999999999996,WRIGLEY,149.0,719465,99999
90,475,19.683,51.383,PIOTRKOW TRYBUNALSKI,205.1,121465,99999
91,498,15.117,60.117,SKEPPMORA,240.0,24720,99999
92,499,9.533,46.867,CHUR,556.0,67860,99999
93,500,8.0,47.183,EGOLZWIL,522.0,66480,99999
94,502,-23.933000000000003,64.9,GUFUSKALAR,7.0,41040,99999
95,517,-102.406,48.301,STANLEY MUNICIPAL AIRPORT,684.3,720909,300
96,518,-98.01799999999999,46.942,BARNES COUNTY MUNICIPAL AIRPO,427.0,720911,301
97,538,-116.295,48.726000000000006,BOUNDARY COUNTY AIRPORT,711.1,720923,310
98,540,-91.98100000000001,45.506,CUMERLAND MUNICIPAL AIRPORT,378.3,720929,316
99,542,-100.245,46.218,LINTON MUNICIPAL AIRPORT,542.2,720933,318
100,543,37.05,67.35,KRASNOSCEL'E,156.0,222350,99999
101,548,19.1,50.817,CZESTOCHOWA,295.0,125500,99999
102,549,17.55,53.717,CHOJNICE,172.0,122350,99999
103,550,-105.71700000000001,75.367,REA POINT  NU,15.0,719830,99999
104,551,-90.2,51.45,PICKLE LAKE  A,386.2,718450,99999
105,554,135.317,46.533,KRASNYJ JAR,130.0,318450,99999
106,556,130.967,47.733000000000004,EKATERINO-NIKOL'SKOE,73.0,317070,99999
107,559,-60.05,46.167,SYDNEY A,61.9,717070,99999
108,560,-66.6,45.92,FREDERICKTON CDA CS,35.0,716680,99999
109,562,15.067,47.85,LUNZ,615.0,111700,99999
110,563,16.633,48.667,POYSDORF,207.0,110320,99999
111,569,100.633,54.6,TULUN,522.0,305040,99999
112,576,-110.35,51.383,OYEN AGDM  ALTA,767.0,713420,99999
113,601,-52.933,65.417,MANIITSOQ,15.0,42040,99999
114,605,3.633,53.266999999999996,K14-FA-1C,27.0,62040,99999
115,614,-97.90299999999999,48.941,WALHALLA MUNICIPAL AIRPORT,290.2,722857,368
116,618,-18.017,66.533,GRIMSEY,17.0,41650,99999
117,620,11.717,56.2,HESSELOE,18.0,61650,99999
118,621,66.083,58.717,KUMINSKAYA,81.2,281650,99999
119,639,27.866999999999997,52.217,ZHITCKOVICHI,137.0,330270,99999
120,640,-0.45,49.173,CARPIQUET,78.0,70270,99999
121,641,141.63299999999998,52.217,POGIBI,6.0,320270,99999
122,648,-166.35,65.233,TELLER AIRPORT,89.0,749230,393
123,660,131.983,47.233000000000004,FUJIN,65.0,507880,99999
124,679,65.05,63.933,BEREZOVO,32.0,236310,99999
125,682,-3.0669999999999997,53.5,CROSBY,9.0,33160,99999
126,684,22.267,48.633,UZHHOROD,124.0,336310,99999
127,685,46.717,61.233000000000004,KOTLAS,56.0,228870,99999
128,686,21.783,61.483000000000004,PORI RAILWAY STATION,10.1,29260,99999
129,687,39.3,62.133,KONEVO,101.3,227490,99999
130,693,-60.217,55.45,HOPEDALE (AUT)  NFLD,12.0,719000,99999
131,699,5.207999999999999,59.345,KARMOY,26.2,14080,99999
132,703,4.646,50.243,FLORENNES,285.0,64560,99999
133,706,-154.183,56.933,AKHIOK,13.0,703926,99999
134,731,15.45,47.083,GRAZ UNIVERSITAET,378.0,112900,99999
135,751,63.617,53.217,KOSTANAY,170.0,289520,99999
136,753,20.317,49.033,POPRAD-GANOVCE,703.0,119520,99999
137,756,-8.25,51.8,ROCHES POINT,41.0,39520,99999
138,773,-116.12299999999999,45.943000000000005,IDAHO COUNTY AIRPORT,1010.1,726873,452
139,783,14.458,46.224,LJUBLJANA,388.0,140140,99999
140,786,11.433,46.883,VIPITENO,921.0,160140,99999
141,795,-122.68299999999999,49.2,PITT MEADOWS CAMPBELL SCIENTI,5.0,717750,99999
142,796,-122.287,47.104,PIERCE COUNTY AIRPORT THUN FI,164.3,720388,469
143,800,11.835999999999999,49.218,HOHENFELS AAF,443.5,107750,99999
144,825,-149.653,61.266000000000005,BRYANT ARMY AIRFIELD HELIPORT,118.3,702700,489
145,828,8.167,46.717,MEIRINGEN,590.6,66370,99999
146,832,-157.162,66.888,SHUNGNAK AIRPORT,62.8,701719,490
147,845,37.5,47.033,MARIUPOL',70.0,347120,99999
148,857,-60.983000000000004,46.367,NORTHEAST MARGAREE (AUT),46.0,717367,99999
149,858,-72.767,45.367,GRANBY,86.0,710367,99999
150,871,-19.733,64.083,BURFELL,249.0,41540,99999
151,874,-68.883,48.4,ILE BICQUETTE  QUE,7.0,713850,99999
152,875,16.033,47.817,HOHE WAND/HOCHKOGELHAUS,939.0,113850,99999
153,878,10.905999999999999,48.071000000000005,LANDSBERG LECH,623.0,108570,99999
154,879,-127.367,50.681000000000004,PORT HARDY,21.6,711090,99999
155,882,2.633,47.053000000000004,AVORD,176.8,72554,99999
156,893,-62.281000000000006,82.51799999999999,ALERT,30.5,710823,99999
157,902,-139.041,61.371,BURWASH,806.8,710010,99999
158,906,17.15,48.4,MALACKY,207.0,118010,99999
159,909,99.53299999999999,57.65,CHERVYANKA,220.5,293930,99999
160,911,71.25,54.9,ISIL'KUL',125.0,286880,99999
161,915,42.783,62.817,DVINSKIJ BEREZNIK,34.0,227620,99999
162,934,3.283,52.0,EURO PLATFORM,18.0,63210,99999
163,936,133.233,49.4,URMI,198.0,316240,99999
164,948,-69.618,61.04600000000001,QUAQTAQ,32.0,719035,99999
165,949,-92.116,62.81100000000001,RANKIN INLET,28.7,710830,99999
166,950,-115.55,51.2,BANFF CS,1397.0,711220,99999
167,951,-111.21700000000001,56.65,FORT MCMURRAY CS  ALTA,369.0,715850,99999
168,952,21.717,50.7,SANDOMIERZ,218.0,125850,99999
169,958,144.4,64.55,NERA,518.5,245850,99999
170,966,52.483000000000004,62.233000000000004,LUN',120.0,237080,99999
171,968,-3.6,54.516999999999996,ST BEES HEAD NO.2,123.0,32100,99999
172,969,-2.8680000000000003,56.373000000000005,LEUCHARS,11.6,31710,99999
173,976,34.266999999999996,61.817,PETROZAVODSK,110.0,228200,99999
174,978,11.333,58.1,MASESKAR,16.0,25050,99999
175,979,24.033,68.067,MUONIO LAUKUKERO,762.0,28200,99999
176,982,20.733,62.983000000000004,STROMMINGSBADN,3.7,27810,99999
177,990,26.233,56.85,MADONA,133.0,264470,99999
178,992,-100.98299999999999,49.283,MELITA  MAN,446.0,714470,99999
179,993,9.732999999999999,47.433,DORNBIRN,410.0,113020,99999
180,994,13.283,46.717,WEISSENSEE/GATSCHACH,954.0,112630,99999
181,996,-108.523,54.125,MEADOW LAKE  A,480.4,711250,99999
182,997,24.316999999999997,61.117,HATTULA LEPAA AWS,87.0,27040,99999
183,998,18.383,60.533,ORSKAR,9.0,24880,99999
184,1004,19.134,54.027,MALBORK,4.9,123765,99999
185,1006,101.698,56.371,BRATSK,490.7,303090,99999
186,1015,-80.617,51.283,MOOSONEE RCS  ONT,9.0,713090,99999
187,1053,161.283,68.75,CHERSKIJ,28.0,251230,99999
188,1056,135.5,61.867,OHOTSKIJPEREVOZ,140.6,248710,99999
189,1060,11.033,46.15,PAGANELLA MOUNTAIN,2129.0,160220,99999
190,1061,80.367,52.016999999999996,VOLCIHA,208.0,360220,99999
191,1066,12.767000000000001,56.033,HELSINGBORG,44.0,26110,99999
192,1080,-89.43299999999999,65.867,WAGER BAY (AUT)  MAN,18.0,710490,99999
193,1081,-117.117,55.9,JEAN COTE AGCM,638.0,715410,99999
194,1086,-96.5,56.033,KELSEY DAM CS  MAN,183.0,715720,99999
195,1090,-43.117,60.033,PRINS CHRISTIAN,19.0,43900,99999
196,1091,-7.6,54.333,THOMASTOWN,72.0,39010,99999
197,1092,33.283,47.317,VELYKA OLEKSANDRIVKA,56.0,338620,99999
198,1097,16.983,60.266999999999996,KERSTINBO,57.0,24820,99999
199,1117,-100.26700000000001,70.633,GATESHEAD ISLAND,20.0,711410,99999
200,1118,13.217,47.4,BISCHOFSHOFEN,548.0,111410,99999
201,1130,110.6,48.617,BINDER,747.0,442570,99999
202,1136,-1.535,54.292,LEEMING,40.2,32570,99999
203,1148,9.982999999999999,54.85,KEGNAES,19.0,61190,99999
204,1153,18.017,66.883,KVIKKJOKK ARRENJARKA,320.0,21190,99999
205,1157,18.333,52.817,INOWROCLAW,83.0,121052,99999
206,1172,55.533,55.417,BIRSK,186.0,286210,99999
207,1190,43.733000000000004,50.95,ELAN',132.0,342530,99999
208,1192,-71.393,46.791000000000004,QUEBEC JEAN LESAGE INTL,74.4,717080,99999
209,1213,-21.9,64.133,REYKJAVIK,53.0,41300,99999
210,1216,-1.993,51.505,LYNEHAM,156.4,37400,99999
211,1222,94.4,49.65,BARUUNTURUUN,1232.0,442130,99999
212,1226,38.266999999999996,46.8,EJSK,3.0,347270,99999
213,1228,28.9,69.583,INARI KIRAKKAJARVI,106.0,28580,99999
214,1230,49.65,60.367,OB'JACEVO,152.0,229960,99999
215,1231,137.05,48.6,TIVJAKU,403.0,317540,99999
216,1237,152.38299999999998,61.133,TALATA,707.5,258080,99999
217,1245,-63.283,51.867,LAC EON  QUE,589.0,714210,99999
218,1249,3.25,56.55,EKOFISK OIL PLTFRM,48.8,14033,99999
219,1250,-3.472,48.754,LANNION,88.4,71180,99999
220,1251,7.832999999999999,46.2,GRAECHEN,1605.2,67280,99999
221,1252,-20.3,65.667,BLONDUOS,22.0,41450,99999
222,1253,-71.217,47.55,PARC DES LAURENTIDES  QUE,791.0,713820,99999
223,1254,13.288,52.56,TEGEL,37.2,103820,99999
224,1255,15.9,47.783,PUCHBERG,582.0,113820,99999
225,1260,-0.433,53.867,LECONFIELD,7.0,33820,99999
226,1266,16.367,45.5,SISAK,106.0,142440,99999
227,1272,-112.05,49.133,MILK RIVER  ALTA,1050.0,712440,99999
228,1275,36.0,52.933,OREL,196.0,279060,99999
229,1277,-68.417,58.1,KUUJJUAQ A,39.3,719060,99999
230,1279,22.75,60.167,KEMIONSAARI KEMIO,12.0,29060,99999
231,1287,42.067,61.083,VEL'SK,91.0,228670,99999
232,1288,-101.1,53.967,THE PAS AIRPORT,270.4,718670,99999
233,1289,80.25,61.1,LAR' YAK,57.0,238670,99999
234,1294,65.55,53.317,SARYKOL,216.0,288670,99999
235,1309,8.514,49.473,MANNHEIM CITY,94.2,107290,99999
236,1321,43.433,56.683,GORODEC,103.0,274530,99999
237,1327,41.1,47.583,KONSTANTINOVSK,66.0,346440,99999
238,1330,34.2,45.65,KLEPYNINE,37.0,339390,99999
239,1331,68.967,60.333,ALTAY,32.3,239390,99999
240,1336,33.55,60.717,LODEJNOE POLE,23.0,229130,99999
241,1337,27.883000000000003,61.9,JUVA PARTALA,111.5,27360,99999
242,1338,16.467,57.7,GLADHAMMAR,31.0,25590,99999
243,1339,32.033,59.45,KIRISHI,26.0,260800,99999
244,1341,15.583,54.183,KOLOBRZEG,5.0,121000,99999
245,1353,-126.75,52.383,BELLA COOLA AIRPORT,35.7,715330,99999
246,1354,10.786,59.379,RYGGE,53.0,14940,99999
247,1356,-96.0,64.317,BAKER LAKE CLIMATE  NU,51.0,713560,99999
248,1359,-58.35,54.72,TUKIALIK BAY,683.0,711790,99999
249,1362,24.35,59.917,KIRKKONUMMI MAKILUOTO,2.0,27940,99999
250,1365,-111.667,53.617,TWO HILLS AGDM  ALTA,678.0,712760,99999
251,1366,-102.462,51.265,YORKTON MUNI,498.3,711380,99999
252,1369,39.5,51.0,LISKI,115.0,342310,99999
253,1371,14.6,63.683,FOLLINGE,362.0,22310,99999
254,1374,100.167,49.633,MUREN,1283.0,442310,99999
255,1383,-122.5,53.016999999999996,QUESNEL,545.0,711920,99999
256,1384,17.65,68.417,STRAUMSNES,200.0,11920,99999
257,1388,16.333,47.2,KLEINZICKEN,267.0,111920,99999
258,1394,11.419,51.855,COCHSTEDT,180.0,106164,99999
259,1398,7.35,45.733000000000004,AOSTA POLLEIN,551.0,160540,99999
260,1401,-78.75,51.483000000000004,WASKAGANISH AIRPORT,23.0,718964,99999
261,1406,112.583,59.45,VITIM,190.0,300540,99999
262,1407,135.15,59.183,UST'-JUDOMA,212.0,310540,99999
263,1416,-71.5,46.9,VALCARTIER AIRPORT,168.0,717160,99999
264,1433,22.066999999999997,58.917,RISTNA,9.0,261150,99999
265,1439,6.2,51.5,ARCEN AWS,19.0,63910,99999
266,1451,-17.983,64.933,SANDBUDIR,821.0,41680,99999
267,1456,77.867,60.433,ALEKSANDROVSKOE,48.0,239550,99999
268,1462,-105.55,50.317,MOOSE JAW CS  SASK,577.0,715390,99999
269,1463,-8.491,51.841,CORK,153.0,39550,99999
270,1467,28.930999999999997,46.928000000000004,CHISINAU INTL,121.6,338387,99999
271,1474,-132.13,54.03,MASSET AIRPORT,7.0,714724,99999
272,1475,17.1,57.367,OLANDS NORRA UDDE,4.0,25750,99999
273,1477,27.017,69.75,UTSJOKI KEVO KEVOJARVI,76.0,28900,99999
274,1479,21.166999999999998,62.2,KRISTIINANKAUPUNKI LIGHTHOUSE,21.7,27520,99999
275,1485,-113.633,50.0,CLARESHOLM,1009.0,712340,99999
276,1486,-17.983,63.516999999999996,SKARDSFJORUVITI,9.0,41700,99999
277,1487,9.85,63.317,ORKDAL-THAMSHAMN,4.0,12340,99999
278,1489,-113.333,50.667,MOSSLEIGH AGCM,965.0,710570,99999
279,1492,94.5,70.967,VOLOCHANKA,40.0,209820,99999
280,1493,110.46700000000001,51.35,HILOK,802.0,308440,99999
281,1505,23.133000000000003,46.317,ROSIA MONTANA,1193.0,151840,99999
282,1508,-134.861,67.408,FORT MCPHERSON,35.4,719574,99999
283,1511,18.617,49.233000000000004,ZILINA/HRICOV,311.0,118410,99999
284,1512,-88.9,50.283,ARMSTRONG (AUT)  ONT,323.0,718410,99999
285,1516,133.033,59.633,UST'-MIL',179.4,310410,99999
286,1517,-61.368,45.657,PORT HAWKESBURY,114.9,710410,99999
287,1518,31.017,52.527,GOMEL,143.9,330410,99999
288,1529,101.98299999999999,52.967,INGA,543.0,307030,99999
289,1531,24.733,60.2,ESPOO SEPANKYLA,31.5,27030,99999
290,1532,6.317,46.667,LES CHARBONNIERES,1045.1,67030,99999
291,1534,36.367,54.55,KALUGA,198.8,277030,99999
292,1535,152.417,62.917,SEJMCHAN,205.0,257030,99999
293,1543,8.517000000000001,47.433,ZUERICH-AFFOLTERN,441.0,66640,99999
294,1544,115.617,53.533,TUNGOKOCEN,811.0,306640,99999
295,1546,15.265,56.266999999999996,RONNEBY,58.2,26640,99999
296,1552,93.917,52.15,TURAN,852.4,360920,99999
297,1554,-128.576,54.468999999999994,TERRACE,217.3,719510,99999
298,1555,-61.8,50.183,NATASHQUAN A,11.0,718130,99999
299,1556,-95.85,68.63600000000001,GJOA HAVEN,46.3,715970,99999
300,1566,12.28,57.663000000000004,LANDVETTER,154.2,25260,99999
301,1570,-113.28299999999999,51.033,STRATHMORE AGDM  ALTA,967.0,715260,99999
302,1581,18.733,59.35,SKARPO A,22.0,24870,99999
303,1585,13.833,49.467,KOCELOVICE,521.9,114870,99999
304,1586,-105.93299999999999,49.733000000000004,ASSINIBOIA AIRPORT  SASK,726.0,714870,99999
305,1591,-105.13799999999999,69.108,CAMBRIDGE BAY,27.4,719250,99999
306,1593,-102.46700000000001,51.266999999999996,YORKTON,498.4,718860,99999
307,1600,16.733,62.766999999999996,SILLRE,205.0,23490,99999
308,1601,39.533,66.183,PJALICA,9.0,223490,99999
309,1608,-111.7,54.5,RICH LAKE AGDM  ALTA,585.0,713490,99999
310,1617,31.983,49.417,CHERKASY,117.0,338151,99999
311,1629,15.4,53.766999999999996,RESKO-SMOLSKO,52.9,122100,99999
312,1637,25.033,48.533,KOLOMYIA,298.0,336510,99999
313,1639,14.085999999999999,55.922,KRISTIANSTAD,23.2,26510,99999
314,1656,-113.9,52.183,RED DEER REGIONAL,904.6,718780,99999
315,1657,-122.054,52.183,WILLIAMS LAKE,940.3,711040,99999
316,1661,116.15,62.266999999999996,KRESTYAH,139.1,247370,99999
317,1662,-113.75,52.45,LACOMBE CDA 2  ALTA,860.0,712420,99999
318,1667,12.0,57.717,GOTEBORG,2.0,25130,99999
319,1670,-61.783,50.183,NATASHQUAN A,11.9,715130,99999
320,1671,128.467,50.917,BELOGORSK,178.0,315130,99999
321,1672,7.143,50.86600000000001,KOLN BONN,92.0,105130,99999
322,1674,36.167,51.766999999999996,KURSK,247.0,340090,99999
323,1681,35.483000000000004,61.016999999999996,VOSNESEN'E,41.0,228290,99999
324,1685,8.083,50.708,SIEGERLAND,599.2,106162,99999
325,1693,-54.568000000000005,48.937,GANDER INTL,151.2,718030,99999
326,1700,-95.6,49.016999999999996,SPRAGUE,329.0,714490,99999
327,1701,-103.637,48.174,SLOULIN FIELD INTERNATIONAL A,579.7,727670,94014
328,1704,10.198,52.919,FASSBERG,74.7,102460,99999
329,1705,76.983,79.483,OSTROV VIZE,10.0,200690,99999
330,1708,-52.933,48.167,GRATES COVE,46.0,713360,99999
331,1710,103.9,45.45,SAIKHAN-OVOO,1316.0,443360,99999
332,1712,40.567,49.933,BOGUCAR,84.0,343360,99999
333,1717,25.15,50.1,BRODY,228.0,332970,99999
334,1723,23.633000000000003,45.433,OBARSIA LOTRULUI,1350.0,152970,99999
335,1733,-98.9,48.117,DEVILS LAKE MUNI AIRPORT,439.2,727573,94928
336,1735,-60.933,46.633,CHETICAMP CS,44.0,719590,99999
337,1741,129.717,62.016999999999996,JAKUTSK,101.0,249590,99999
338,1743,28.217,61.05,LAPPEENRANTA LEPOLA,104.4,29590,99999
339,1749,-109.81700000000001,47.383,DELTA (DENTON),1093.3,720997,99999
340,1750,7.5360000000000005,49.403,LANDSTUHL AHP,355.7,106597,99999
341,1755,82.65100000000001,55.013000000000005,TOLMACHEVO,111.3,296340,99999
342,1766,-162.27,55.17,KING COVE,47.0,703059,99999
343,1777,23.783,46.583,TURDA,428.0,151430,99999
344,1786,-114.53299999999999,53.817,GLENEVIS AGCM,670.0,715000,99999
345,1794,24.65,60.516999999999996,NURMIJARVI GEOPHSICAL OBSERVA,113.0,29830,99999
346,1795,25.83,66.565,ROVANIEMI,196.6,28450,99999
347,1796,33.95,52.05,DRUZHBA,190.0,330580,99999
348,1797,76.85,69.083,ANTIPAJUTA,3.0,230580,99999
349,1803,-117.883,55.8,EAGLESHAM AGCM,563.0,714610,99999
350,1809,21.767,65.75,SAVAST,12.0,21700,99999
351,1813,90.53299999999999,45.367,BAYTIK SHAN,1651.0,512880,99999
352,1814,28.75,64.933,SUOMUSSALMI PESIO,225.2,28890,99999
353,1819,5.218,60.293,FLESLAND,51.8,13110,99999
354,1823,5.763999999999999,61.393,BRINGELAND,327.0,13230,99999
355,1824,-70.783,46.2,BEAUCEVILLE  QUE,229.0,713230,99999
356,1832,19.683,63.433,JARNASKLUBB,7.0,22840,99999
357,1833,100.133,46.7,GALUUT,2126.0,442840,99999
358,1837,-113.917,53.917,BUSBY AGCM,714.0,712840,99999
359,1840,18.81,45.463,OSIJEK,88.4,142840,99999
360,1842,13.883,66.233,SKAMDAL,5.0,11460,99999
361,1846,12.95,47.05,SONNBLICK,3109.0,111460,99999
362,1851,2.106,48.751999999999995,TOUSSUS LE NOBLE,164.0,71460,99999
363,1852,-93.57700000000001,69.547,TALOYOAK,28.0,719145,99999
364,1854,-109.633,47.016999999999996,MIKE (MOORE),1256.1,721007,99999
365,1858,35.9,59.4,BABAEVO,137.0,270080,99999
366,1860,15.466,78.24600000000001,LONGYEAR,26.8,10080,99999
367,1863,14.0,48.567,ROHRBACH,602.0,110080,99999
368,1864,-112.45,50.883,BASSANO AGCM,807.0,710080,99999
369,1865,23.898000000000003,52.108000000000004,BREST,142.6,330080,99999
370,1866,-1.633,59.533,FAIR ISLE,57.0,30080,99999
371,1868,-106.948,47.326,JORDAN AIRPORT,811.4,727684,94051
372,1869,22.183000000000003,62.417,KAUHAJOKI KUJA-KOKKO,93.0,27690,99999
